site,net,year,lat,long,distshore,trawl,area,chlorophyll,tempavg,tempstdev,sal,bod,nh3,po4,depth,nflounder
Cork Harbour,BS,2001,51.80699194,-8.251649722,64.7638,0,31.35337541,30,13.99836364,2.230681429,24.49,1.87,0.07,19.471,3.35,15
Cork Harbour,BS,2001,51.80560639,-8.276374722,68.296934,0,31.35337541,3.6,8.235,4.525376227,24.49,1.87,0.07,19.471,3.35,27
Cork Harbour,BS,2001,51.84529944,-8.192530556,42.4169,0,27.81108916,50.6,13.99836364,4.778928899,24.49,1.87,0.07,19.471,3.35,1
Cork Harbour,BS,2001,51.85424583,-8.190014444,38.586779,0,27.81108916,27.1,12.66,4.228859699,24.49,1.87,0.07,19.471,3.35,8
Cork Harbour,BS,2001,51.85657417,-8.189632222,80.802654,0,27.81108916,14,13.048,4.488850218,24.49,1.87,0.07,19.471,3.35,1
Cork Harbour,BS,2001,51.85811056,-8.189769444,44.529306,0,27.81108916,5.1,12.02316667,4.672666943,24.49,1.87,0.07,19.471,3.35,4
Cork Harbour,BS,2001,51.82503083,-8.251010556,54.45638,0,27.81108916,14,13.37702703,4.20822874,24.49,1.87,0.07,19.471,3.35,1
Cork Harbour,BS,2001,51.85842889,-8.262735278,2607.898226,0,27.81108916,6,13.2025,3.959531757,24.49,1.87,0.07,19.471,3.35,3
Cork Harbour,BS,2001,51.85065028,-8.284109722,1995.829307,0,27.81108916,75,15.49090909,3.582665622,24.49,1.87,0.07,19.471,3.35,2
Cork Harbour,BS,2001,51.84475639,-8.311845,1161.761423,0,27.81108916,25,14.22941176,3.911578255,24.49,1.87,0.07,19.471,3.35,0
Cork Harbour,BS,2001,51.83605889,-8.300585278,122.883806,0,27.81108916,14,14.42222222,4.930470176,24.49,1.87,0.07,19.471,3.35,5
Cork Harbour,BS,2001,51.83703417,-8.291596944,530.071238,0,27.81108916,11,12.66530612,3.340159677,24.49,1.87,0.07,19.471,3.35,2
Cork Harbour,BS,2001,51.81887361,-8.321600278,67.815015,0,27.81108916,4.7,13.24387755,5.093900389,24.49,1.87,0.07,19.471,3.35,5
North Channel Great Island,BS,2001,51.8601475,-8.212668056,206.821304,0,7.961618254,4.6,12.66530612,3.681526194,24.49,1.87,0.07,19.471,3.35,1
North Channel Great Island,BS,2001,51.86239917,-8.210065833,35.780248,0,7.961618254,3.6,9.675,5.093900389,24.49,1.87,0.07,19.471,3.35,0
North Channel Great Island,BS,2001,51.88469806,-8.198740278,42.031665,0,7.961618254,7.6,9.675,3.681526194,24.49,1.87,0.07,19.471,3.35,0
North Channel Great Island,BS,2001,51.88770833,-8.209443056,66.650622,0,7.961618254,18,11.295,4.468402959,24.49,1.87,0.07,19.471,3.35,0
North Channel Great Island,BS,2001,51.88436083,-8.221510556,22.931032,0,7.961618254,3.6,9.244,4.710727335,24.49,1.87,0.07,19.471,3.35,0
North Channel Great Island,BS,2001,51.88619944,-8.241736389,14.787877,0,7.961618254,3.6,12.66,4.710727335,24.49,1.87,0.07,19.471,3.35,0
North Channel Great Island,BS,2001,51.89537833,-8.280963333,27.434795,0,7.961618254,15,13.79444444,4.710727335,24.49,1.87,0.07,19.471,3.35,0
North Channel Great Island,BS,2001,51.88850667,-8.301269167,114.589184,0,7.961618254,21.1,15.9495,4.653465978,24.49,1.87,0.07,19.471,3.35,0
Owenacurra Estuary,BS,2001,51.89982806,-8.173150833,37.131985,0,1.121389719,27.1,12.76428571,3.439050974,15.609,1.845,0.173,38.396,4.59,1
Owenacurra Estuary,BS,2001,51.90456167,-8.174781667,32.023494,0,1.121389719,8.3,12.66516129,5.227555858,15.609,1.845,0.173,38.396,4.59,3
"Mahon, Lough (Harper's Island)",BS,2001,51.90355861,-8.315622778,11.662285,0,2.045937597,15,12.98967391,5.410074241,15.609,1.845,0.173,38.396,4.59,0
"Mahon, Lough",BS,2001,51.89510778,-8.319994167,12.761373,0,12.22952088,62.7,13.646,3.677775143,15.609,1.845,0.173,38.396,4.59,5
"Mahon, Lough",BS,2001,51.90164222,-8.388513333,56.434148,0,12.22952088,18,12.885,4.672666943,15.609,1.845,0.173,38.396,4.59,1
"Mahon, Lough",BS,2001,51.85852167,-8.326237222,399.494457,0,12.22952088,95.4,12.66,4.930470176,15.609,1.845,0.173,38.396,4.59,2
"Mahon, Lough",BS,2001,51.88166556,-8.382430556,18.769474,0,12.22952088,45,13.58780488,4.720416299,15.609,1.845,0.173,38.396,4.59,2
"Mahon, Lough",BS,2001,51.89166528,-8.348656944,3.796023,0,12.22952088,27.1,13.58780488,4.720416299,15.609,1.845,0.173,38.396,4.59,1
"Mahon, Lough",BS,2001,51.89035806,-8.340847222,77.961976,0,12.22952088,7.6,13.646,3.582665622,15.609,1.845,0.173,38.396,4.59,0
"Lee (Cork) Estuary, Lower",BS,2001,51.90243444,-8.446431667,14.342975,0,0.886255853,27.1,13.34638889,4.778928899,15.609,1.845,0.173,38.396,4.59,6
"Lee (Cork) Estuary, Lower",BS,2001,51.89972139,-8.403809167,27.2576,0,0.886255853,14,13.58780488,5.410074241,15.609,1.845,0.173,38.396,4.59,2
New Ross Port,BS,2002,52.37423639,-6.965773889,46.326097,0,6.710965171,11.4,11.295,3.582665622,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.36779917,-6.965454444,60.085955,0,6.710965171,4.6,12.66,3.340159677,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.36169972,-6.991740833,134.628193,0,6.710965171,7,11.295,4.545258968,6.607,1.573,0.043,31.276,7.75,0
New Ross Port,BS,2002,52.35414889,-6.9968,36.567122,0,6.710965171,14,12.76428571,4.464580111,6.607,1.573,0.043,31.276,7.75,2
New Ross Port,BS,2002,52.34531694,-6.998100278,30.290044,0,6.710965171,15,13.048,3.271437991,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.33087556,-6.994994167,63.597749,0,6.710965171,9.3,13.34638889,3.911578255,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.32219722,-6.983780278,36.048008,0,6.710965171,122,12.77282609,3.677775143,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.31955639,-6.992346667,43.642135,0,6.710965171,50.6,12.98967391,3.814084319,6.607,1.573,0.043,31.276,7.75,0
New Ross Port,BS,2002,52.312565,-7.001919167,210.236465,0,6.710965171,2,14.63571429,3.681526194,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.30379639,-7.011821389,32.040909,0,6.710965171,55.1,7.305238095,0.267387716,6.607,1.573,0.043,31.276,7.75,0
New Ross Port,BS,2002,52.29383639,-7.014754444,39.424073,0,6.710965171,2.9,13.92017857,4.720416299,6.607,1.573,0.043,31.276,7.75,10
New Ross Port,BS,2002,52.31245917,-6.998945,18.964478,0,6.710965171,9.3,13.24387755,4.525376227,6.607,1.573,0.043,31.276,7.75,0
New Ross Port,BS,2002,52.352123,-7.0046139,0,0,6.710965171,8.3,13.99836364,3.340159677,6.607,1.573,0.043,31.276,7.75,0
"Barrow Nore Suir Estuary, Upper",BS,2002,52.40225,-6.941595833,84.197157,0,0.642887303,21.1,11.295,4.525376227,6.607,1.573,0.043,31.276,7.75,10
"Barrow Nore Suir Estuary, Upper",BS,2002,52.403605,-6.940388056,44.027972,0,0.642887303,4.6,13.74052632,3.903937707,6.607,1.573,0.043,31.276,7.75,24
"Barrow Nore Suir Estuary, Upper",BS,2002,52.46722,-6.929164167,2.473997,0,1.147201315,9.3,12.875,5.410074241,6.607,1.573,0.043,31.276,7.75,137
"Barrow Nore Suir Estuary, Upper",BS,2002,52.48720389,-6.927913333,13.332322,0,1.147201315,9.3,11.40384615,4.20822874,6.607,1.573,0.043,31.276,7.75,3
"Barrow Nore Suir Estuary, Upper",BS,2002,52.46418528,-6.915671944,11.461159,0,1.147201315,15,14.42222222,4.545258968,6.607,1.573,0.043,31.276,7.75,0
"Barrow Nore Suir Estuary, Upper",BS,2002,52.43192417,-6.915816944,2.519038,0,1.147201315,7.4,15.135,5.227555858,6.607,1.573,0.043,31.276,7.75,3
"Barrow Nore Suir Estuary, Upper",BS,2002,52.42056139,-6.9262675,5.551591,0,1.147201315,21,13.24387755,4.672666943,6.607,1.573,0.043,31.276,7.75,1
"Barrow Nore Suir Estuary, Upper",BS,2002,52.42596056,-6.950054444,7.344722,0,1.147201315,237,15.9495,3.512726861,6.607,1.573,0.043,31.276,7.75,1
Suir Estuary,BS,2002,52.25497528,-7.067660278,49.636314,0,4.323467823,3.6,13.24387755,4.720416299,6.607,1.573,0.043,31.276,7.75,1
Suir Estuary,BS,2002,52.24696472,-7.042571944,33.410268,0,4.323467823,134,9.244,5.495798012,6.607,1.573,0.043,31.276,7.75,43
Suir Estuary,BS,2002,52.24325083,-7.056794167,233.890171,0,4.323467823,2.9,14.354,4.055757225,6.607,1.573,0.043,31.276,7.75,6
Suir Estuary,Fyke,2002,52.26033056,-7.0318125,36.751041,0,4.323467823,122,15.30958333,3.911578255,6.607,1.573,0.043,31.276,7.75,4
Suir Estuary,Fyke,2002,52.25542306,-7.068602778,44.783674,0,4.323467823,5.8,14.30942029,3.859427448,6.607,1.573,0.043,31.276,7.75,14
Suir Estuary,BS,2002,52.28690889,-7.278570556,52.05395,0,7.03229492,6,13.646,3.677775143,6.607,1.573,0.043,31.276,7.75,1
Suir Estuary,BS,2002,52.31024278,-7.298674167,57.324754,0,7.03229492,7.1,13.646,2.176412384,6.607,1.573,0.043,31.276,7.75,37
Suir Estuary,BS,2002,52.30051111,-7.297347222,46.15096,0,7.03229492,6,13.58780488,3.340159677,6.607,1.573,0.043,31.276,7.75,116
Suir Estuary,BS,2002,52.32695056,-7.315790833,65.623159,0,7.03229492,27.1,14.0688172,3.859427448,6.607,1.573,0.043,31.276,7.75,47
Suir Estuary,BS,2002,52.28823722,-7.294669167,18.727444,0,7.03229492,90.7,13.92017857,4.653465978,6.607,1.573,0.043,31.276,7.75,96
Suir Estuary,Fyke,2002,52.25112056,-7.086146944,42.99197,0,7.03229492,11.4,13.92017857,5.410074241,6.607,1.573,0.043,31.276,7.75,5
Suir Estuary,Fyke,2002,52.28482972,-7.2780475,154.302396,0,7.03229492,25,12.66530612,4.930470176,6.607,1.573,0.043,31.276,7.75,81
Suir Estuary,Fyke,2002,52.28956028,-7.284536111,87.700377,0,7.03229492,9.3,12.18864865,3.814084319,6.607,1.573,0.043,31.276,7.75,80
Suir Estuary,BS,2002,52.33658194,-7.356969722,33.789142,0,1.090200188,3.6,13.34638889,3.582665622,6.607,1.573,0.043,31.276,7.75,13
Suir Estuary,BS,2002,52.32897,-7.318473333,77.045277,0,1.090200188,18,12.04071429,3.911578255,6.607,1.573,0.043,31.276,7.75,48
Suir Estuary,BS,2002,52.33228306,-7.333678611,59.938937,0,1.090200188,9.3,15.01815385,4.413718078,6.607,1.573,0.043,31.276,7.75,153
Mouth of the Shannon,BS,2002,52.61494944,-9.650428611,94.243848,0,334.1285078,11.4,11.40384615,5.227555858,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.58044139,-9.609106389,192.627747,0,334.1285078,37,12.8815,4.758572369,7.84,1.149,0.041,39.716,6.17,4
Mouth of the Shannon,BS,2002,52.58606611,-9.738302778,130.527658,0,334.1285078,15,15.9495,4.710727335,7.84,1.149,0.041,39.716,6.17,1
Mouth of the Shannon,BS,2002,52.58730056,-9.700945833,56.589068,0,334.1285078,25,14.94074074,4.488850218,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.60516611,-9.7060075,111.034599,0,334.1285078,50.6,15.30958333,4.930470176,7.84,1.149,0.041,39.716,6.17,2
Mouth of the Shannon,BS,2002,52.57494611,-9.504849722,319.576825,0,334.1285078,18,13.92017857,5.410074241,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.58044139,-9.609106389,192.627747,0,334.1285078,90.2,14.71666667,5.410074241,7.84,1.149,0.041,39.716,6.17,5
Mouth of the Shannon,BS,2002,52.57022861,-9.552816389,375.087805,0,334.1285078,9.3,13.05954545,3.582665622,7.84,1.149,0.041,39.716,6.17,8
Mouth of the Shannon,BS,2002,52.58154528,-9.6177925,44.61216,0,334.1285078,3.6,7.305238095,0.5732655,7.84,1.149,0.041,39.716,6.17,3
Mouth of the Shannon,BS,2002,52.61494944,-9.650428611,94.243848,0,334.1285078,4.6,13.048,4.778928899,7.84,1.149,0.041,39.716,6.17,11
Mouth of the Shannon,BS,2002,52.62110806,-9.5938075,14.858084,0,334.1285078,22.7,12.77282609,4.710727335,7.84,1.149,0.041,39.716,6.17,2
Mouth of the Shannon,BS,2002,52.62304833,-9.591869722,50.761732,0,334.1285078,3.6,13.048,4.488850218,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.62151056,-9.603273056,26.613548,0,334.1285078,2,13.34638889,3.681526194,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.64194389,-9.547391944,12.527577,0,334.1285078,18,12.66,4.778928899,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.65534694,-9.544362778,56.269892,0,334.1285078,62.6,13.99836364,4.672666943,7.84,1.149,0.041,39.716,6.17,0
Mouth of the Shannon,BS,2002,52.61503028,-9.513133611,1645.030431,0,334.1285078,90.2,15.28181818,5.410074241,7.84,1.149,0.041,39.716,6.17,1
Mouth of the Shannon,BS,2002,52.60922639,-9.517214722,2338.367129,0,334.1285078,7.4,14.0688172,3.183513001,7.84,1.149,0.041,39.716,6.17,1
Mouth of the Shannon,BS,2002,52.61814194,-9.481671944,25.51564,0,334.1285078,27.1,14.88625,3.859427448,7.84,1.149,0.041,39.716,6.17,24
"Shannon Estuary, Lower",BS,2002,52.59019361,-9.361779444,34.066041,0,123.0789371,7.1,14.354,2.406793955,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.58814667,-9.359266667,34.850341,0,123.0789371,27.1,13.34638889,4.468402959,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.59079083,-9.3700025,66.213892,0,123.0789371,90.2,14.8547541,4.710727335,7.84,1.149,0.041,39.716,6.17,1
"Shannon Estuary, Lower",BS,2002,52.58441194,-9.4329075,30.842749,0,123.0789371,9.3,13.61233333,3.582665622,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.62285111,-9.341351111,23.858134,0,123.0789371,18,13.79444444,4.778928899,7.84,1.149,0.041,39.716,6.17,2
"Shannon Estuary, Lower",BS,2002,52.61458972,-9.379146111,25.92506,0,123.0789371,18,15.9495,5.227555858,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.61403694,-9.367140278,22.999591,0,123.0789371,9.3,9.675,4.720416299,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.57493472,-9.369508333,52.179452,0,123.0789371,237,13.79096774,4.710727335,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.57213639,-9.287308056,19.621889,0,123.0789371,7.4,7.305238095,0.5732655,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.57511167,-9.283102778,24.345334,0,123.0789371,95.4,16.2903125,4.490861924,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.572065,-9.5052675,23.250222,0,123.0789371,18,15.01815385,2.22695905,7.84,1.149,0.041,39.716,6.17,16
"Shannon Estuary, Lower",BS,2002,52.57056194,-9.501897222,36.632174,0,123.0789371,15,13.79096774,2.406793955,7.84,1.149,0.041,39.716,6.17,4
"Shannon Estuary, Lower",BS,2002,52.57444667,-9.489624444,603.247849,0,123.0789371,21.1,13.79096774,3.340159677,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.56098417,-9.468036667,25.714203,0,123.0789371,19,13.99836364,4.672666943,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.56741028,-9.481701944,73.297189,0,123.0789371,20.1,12.98967391,5.410074241,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.61950833,-9.255193611,49.204856,0,123.0789371,9.3,14.63571429,3.313892652,7.84,1.149,0.041,39.716,6.17,0
"Shannon Estuary, Lower",BS,2002,52.62272111,-9.245406667,33.517022,0,123.0789371,4.6,14.8547541,5.410074241,7.84,1.149,0.041,39.716,6.17,1
"Shannon Estuary, Lower",BS,2002,52.59415306,-9.223788611,24.463615,0,123.0789371,170,15.49090909,5.093900389,7.84,1.149,0.041,39.716,6.17,2
"Slaney Estuary, Lower",BS,2003,52.42104944,-6.559698889,73.513674,0,18.35019149,55.1,13.4332,2.748257821,8.637,1.739,0.046,24.601,3.1,13
"Slaney Estuary, Lower",BS,2003,52.40536611,-6.547895833,41.183724,0,18.35019149,9.3,12.66,3.681526194,8.637,1.739,0.046,24.601,3.1,12
"Slaney Estuary, Lower",BS,2003,52.39154722,-6.551081944,82.327008,0,18.35019149,5.2,13.24387755,4.353899332,8.637,1.739,0.046,24.601,3.1,178
"Slaney Estuary, Lower",BS,2003,52.37742111,-6.559298056,40.410259,0,18.35019149,237,13.4332,4.488850218,8.637,1.739,0.046,24.601,3.1,13
"Slaney Estuary, Lower",BS,2003,52.35714944,-6.544911944,83.091021,0,18.35019149,237,12.98967391,4.228859699,8.637,1.739,0.046,24.601,3.1,11
"Slaney Estuary, Lower",BS,2003,52.37288222,-6.479655,9.569994,0,18.35019149,5.1,15.9495,5.410074241,8.637,1.739,0.046,24.601,3.1,0
"Slaney Estuary, Lower",BS,2003,52.36783972,-6.470563611,82.242342,0,18.35019149,6,14.63571429,4.646473535,8.637,1.739,0.046,24.601,3.1,4
"Slaney Estuary, Lower",BS,2003,52.35796944,-6.469686111,134.269799,0,18.35019149,4.6,14.94074074,3.432283265,8.637,1.739,0.046,24.601,3.1,35
"Slaney Estuary, Lower",Fyke,2003,52.38482056,-6.568130278,46.492974,0,18.35019149,1.5,12.9275,4.268619016,8.637,1.739,0.046,24.601,3.1,29
"Slaney Estuary, Lower",Fyke,2003,52.38359194,-6.567909444,50.502051,0,18.35019149,7.4,13.58780488,3.766840299,8.637,1.739,0.046,24.601,3.1,38
"Slaney Estuary, Lower",Fyke,2003,52.38456611,-6.568200833,51.987375,0,18.35019149,52,15.49090909,4.353899332,8.637,1.739,0.046,24.601,3.1,45
"Slaney Estuary, Lower",Fyke,2003,52.35532778,-6.479604167,290.107183,0,18.35019149,30,14.42222222,4.710727335,8.637,1.739,0.046,24.601,3.1,62
"Slaney Estuary, Lower",Fyke,2003,52.35500583,-6.489398056,133.314783,0,18.35019149,15,13.2025,2.176412384,8.637,1.739,0.046,24.601,3.1,36
"Slaney Estuary, Lower",Fyke,2003,52.35483056,-6.483445,168.415682,0,18.35019149,15,13.05954545,4.228859699,8.637,1.739,0.046,24.601,3.1,15
"Slaney Estuary, Upper",BS,2003,52.45550056,-6.562223333,40.381499,0,0.806862947,33,11.295,4.545258968,8.637,1.739,0.046,24.601,3.1,10
"Slaney Estuary, Upper",BS,2003,52.47080556,-6.56299,21.249438,0,0.806862947,14,12.66,4.545258968,8.637,1.739,0.046,24.601,3.1,9
"Slaney Estuary, Upper",BS,2003,52.43496639,-6.563083056,37.416187,0,0.806862947,27.1,13.99836364,4.763972932,8.637,1.739,0.046,24.601,3.1,98
"Slaney Estuary, Upper",Fyke,2003,52.45379778,-6.561818889,34.387049,0,0.806862947,170,12.76428571,3.766840299,8.637,1.739,0.046,24.601,3.1,81
"Slaney Estuary, Upper",Fyke,2003,52.45366222,-6.561823056,34.928873,0,0.806862947,7.6,15.9495,3.340159677,8.637,1.739,0.046,24.601,3.1,46
"Slaney Estuary, Upper",Fyke,2003,52.45277278,-6.561852222,21.268424,0,0.806862947,15,14.63571429,3.903937707,8.637,1.739,0.046,24.601,3.1,37
"Blackwater M Estuary, Lower (Youghal Harbour)",BS,2003,52.01107806,-7.853298611,64.884252,0,12.06838695,7.1,13.58780488,3.677775143,4.878,1.316,0.039,29.31,3.25,11
"Blackwater M Estuary, Lower (Youghal Harbour)",BS,2003,52.06259667,-7.872766389,0,0,12.06838695,1.5,13.33193548,3.677775143,4.878,1.316,0.039,29.31,3.25,23
"Blackwater M Estuary, Lower (Youghal Harbour)",BS,2003,52.04917361,-7.849436111,64.77846,0,12.06838695,5.8,13.99836364,3.903937707,4.878,1.316,0.039,29.31,3.25,16
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,52.0392275,-7.849469444,55.904677,0,12.06838695,190,15.30958333,3.903937707,4.878,1.316,0.039,29.31,3.25,8
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,51.99122611,-7.879868889,84.907219,0,12.06838695,7.4,11.40384615,5.530609041,4.878,1.316,0.039,29.31,3.25,5
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,51.99682833,-7.882495833,113.539498,0,12.06838695,18,13.048,2.176412384,4.878,1.316,0.039,29.31,3.25,2
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,51.99421472,-7.881605,99.79131,0,12.06838695,5.8,15.9495,4.778928899,4.878,1.316,0.039,29.31,3.25,1
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,52.09160639,-7.861496667,37.391849,0,12.06838695,4.7,12.9919802,5.093900389,4.878,1.316,0.039,29.31,3.25,92
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,52.10296556,-7.865372778,72.156103,0,12.06838695,44,16.2903125,3.859427448,4.878,1.316,0.039,29.31,3.25,225
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,52.10483361,-7.866708056,81.462321,0,12.06838695,21.1,14.15625,3.911578255,4.878,1.316,0.039,29.31,3.25,40
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,51.95739972,-7.833626111,253.410109,0,12.06838695,11,10.15,3.677775143,4.878,1.316,0.039,29.31,3.25,0
"Blackwater M Estuary, Lower (Youghal Harbour)",Fyke,2003,51.95867306,-7.831671944,307.568766,0,12.06838695,11,13.92017857,4.525376227,4.878,1.316,0.039,29.31,3.25,0
"Blackwater M Estuary, Lower (Youghal Harbour)",BS,2003,51.95995583,-7.829950556,310.204772,0,12.06838695,14,14.3375,3.432283265,4.878,1.316,0.039,29.31,3.25,0
Cromane,BS,2003,52.08023111,-9.965955556,185.299954,0,50.87407282,9.3,14.63571429,3.817051546,20.63,1.629,0.09,11.144,1.4,99
Cromane,BS,2003,52.12762389,-9.8916875,0,0,50.87407282,7.1,13.34638889,4.653465978,20.63,1.629,0.09,11.144,1.4,0
Cromane,BS,2003,52.14201222,-9.925176111,665.673145,0,50.87407282,2,13.79096774,4.525376227,20.63,1.629,0.09,11.144,1.4,1
Cromane,BS,2003,52.12058861,-9.8874575,481.977723,0,50.87407282,3.6,12.28571429,3.582665622,20.63,1.629,0.09,11.144,1.4,2
Cromane,BS,2003,52.12411083,-9.872101944,1133.128298,0,50.87407282,237,14.88625,4.228859699,20.63,1.629,0.09,11.144,1.4,5
Cromane,BS,2003,52.114514,-9.902566,0,0,50.87407282,14,15.9495,4.763972932,20.63,1.629,0.09,11.144,1.4,0
Cromane,BS,2003,52.10838139,-9.932555,5.210549,0,50.87407282,2,15.49090909,5.227555858,20.63,1.629,0.09,11.144,1.4,0
Cromane,BS,2003,52.105139,-9.908122,14.397344,0,50.87407282,2.7,12.885,4.720416299,20.63,1.629,0.09,11.144,1.4,0
Cromane,BS,2003,52.15189111,-9.833852778,664.941885,0,50.87407282,95.4,13.92017857,7.040750218,20.63,1.629,0.09,11.144,1.4,16
Cromane,BS,2003,52.15189111,-9.833852778,664.941885,0,50.87407282,2,12.04071429,3.512726861,20.63,1.629,0.09,11.144,1.4,0
Cromane,Fyke,2003,52.13983361,-9.850285833,1809.247223,0,50.87407282,7.1,13.92017857,4.710727335,20.63,1.629,0.09,11.144,1.4,0
Cromane,BS,2003,52.12762389,-9.891673056,0,0,50.87407282,14,13.55,3.903937707,20.63,1.629,0.09,11.144,1.4,21
Cromane,BS,2003,52.075552,-9.957359,677.640691,0,50.87407282,18,13.048,4.057784541,20.63,1.629,0.09,11.144,1.4,4
Cromane,Fyke,2003,52.06262889,-9.965648889,297.467912,0,50.87407282,7.4,12.66,3.681526194,20.63,1.629,0.09,11.144,1.4,4
Castlemaine Harbour,BS,2003,52.14650889,-9.751720278,0,0,6.355514836,2.8,13.92017857,7.040750218,20.63,1.629,0.09,11.144,1.4,17
Castlemaine Harbour,BS,2003,52.118356,-9.770157,7.548074,0,6.355514836,50.6,13.34638889,5.093900389,20.63,1.629,0.09,11.144,1.4,108
Castlemaine Harbour,BS,2003,52.10141972,-9.782059722,45.17876,0,6.355514836,5.1,13.92017857,3.903937707,20.63,1.629,0.09,11.144,1.4,39
Castlemaine Harbour,BS,2003,52.149802,-9.773303,27.599455,0,6.355514836,4.7,13.048,2.748257821,20.63,1.629,0.09,11.144,1.4,1
Castlemaine Harbour,BS,2003,52.116252,-9.776206,42.941381,0,6.355514836,22.7,14.14375,5.093900389,20.63,1.629,0.09,11.144,1.4,1
Castlemaine Harbour,Fyke,2003,52.173484,-9.660383,0.706246,0,6.355514836,52,15.9495,4.468402959,20.63,1.629,0.09,11.144,1.4,30
Castlemaine Harbour,Fyke,2003,52.110305,-9.783706,18.960322,0,6.355514836,21.1,13.05954545,4.525376227,20.63,1.629,0.09,11.144,1.4,5
Castlemaine Harbour,Fyke,2003,52.10440139,-9.782579167,28.196967,0,6.355514836,22.7,12.875,3.213339794,20.63,1.629,0.09,11.144,1.4,80
Castlemaine Harbour,Fyke,2003,52.10558417,-9.781840556,27.051316,0,6.355514836,18,13.55,3.681526194,20.63,1.629,0.09,11.144,1.4,9
Castlemaine Harbour,Fyke,2003,52.173484,-9.660383,0.706246,0,6.355514836,50.3,13.92017857,3.677775143,20.63,1.629,0.09,11.144,1.4,31
Castlemaine Harbour,Fyke,2003,52.171999,-9.668791,2.928852,0,6.355514836,14,13.24387755,4.930470176,20.63,1.629,0.09,11.144,1.4,50
Castlemaine Harbour,BS,2003,52.169424,-9.672904,3.218498,0,6.355514836,6,13.34638889,3.911578255,20.63,1.629,0.09,11.144,1.4,0
Rogerstown Estuary,BS,2004,53.50989278,-6.120920556,40.05447,0,3.04642617,15.6,13.17396694,4.268619016,25.377,2.158,0.157,52.458,1,2
Rogerstown Estuary,BS,2004,53.50953306,-6.130644722,26.803891,0,3.04642617,44,13.92017857,2.176412384,25.377,2.158,0.157,52.458,1,1
Rogerstown Estuary,BS,2004,53.50635528,-6.133739167,337.483164,0,3.04642617,7,12.28571429,4.9304649,25.377,2.158,0.157,52.458,1,10
Rogerstown Estuary,BS,2004,53.50077722,-6.150065556,38.097388,0,3.04642617,9.3,14.42222222,4.545258968,25.377,2.158,0.157,52.458,1,19
Rogerstown Estuary,BS,2004,53.50111806,-6.164007222,13.05703,0,3.04642617,22.7,13.34638889,2.825561739,25.377,2.158,0.157,52.458,1,47
Rogerstown Estuary,BS,2004,53.51025806,-6.124160556,111.382048,0,3.04642617,189,15.9495,4.057784541,25.377,2.158,0.157,52.458,1,24
Rogerstown Estuary,BS,2004,53.511575,-6.121042222,102.846951,0,3.04642617,8.3,15.55375,4.720416299,25.377,2.158,0.157,52.458,1,50
Rogerstown Estuary,BS,2004,53.50052889,-6.145645556,11.573843,0,3.04642617,11.2,13.47142857,4.930470176,25.377,2.158,0.157,52.458,1,45
Rogerstown Estuary,BS,2004,53.50927556,-6.139474722,21.17554,0,3.04642617,3.6,13.34638889,3.681526194,25.377,2.158,0.157,52.458,1,5
